,Unnamed: 0,ID,Description,Published,Solved By,Difficulty
137,137,138,Special Isosceles Triangles,1169290800,6052,45.0
138,138,139,Pythagorean Tiles,1169888400,5859,50.0
139,139,140,Modified Fibonacci Golden Nuggets,1170486000,4516,55.0
140,140,141,"Investigating progressive numbers, <i>n</i>, which are also square",1171688400,4106,60.0
141,141,142,Perfect Square Collection,1172278800,6029,45.0
142,142,143,Investigating the Torricelli point of a triangle,1172869200,2862,65.0
143,143,144,Investigating multiple reflections of a laser beam,1173459600,6488,50.0
144,144,145,How many reversible numbers are there below one-billion?,1174050000,17233,20.0
145,145,146,Investigating a Prime Pattern ,1174726800,5255,50.0
146,146,147,Rectangles in Cross-hatched Grids,1175317200,3148,65.0
147,147,148,Exploring Pascal's Triangle,1175907600,5327,50.0
148,148,149,Searching for a maximum-sum subsequence,1176498000,5005,50.0
149,149,150,Searching a triangular array for a sub-triangle having minimum-sum,1176498000,4089,55.0
150,150,151,Paper sheets of standard sizes: an expected-value problem,1177088400,5712,50.0
151,151,152,Writing $1/2$ as a sum of inverse squares,1177678800,2783,65.0
152,152,153,Investigating Gaussian Integers,1178355600,2708,65.0
153,153,154,Exploring Pascal's Pyramid,1178946000,2721,65.0
154,154,155,Counting Capacitor Circuits,1179536400,3725,60.0
155,155,156,Counting Digits,1180126800,2519,70.0
156,156,157,Solving the Diophantine equation $\frac 1 a + \frac 1 b = \frac p {10^n}$,1180717200,2820,65.0
157,157,158,Exploring strings for which only one character comes lexicographically after its neighbour to the left,1181912400,3752,55.0
158,158,159,Digital Root Sums of Factorisations,1183208400,3408,60.0
159,159,160,Factorial Trailing Digits,1189170000,3624,60.0
160,160,161,Triominoes,1190394000,2205,70.0
161,161,162,Hexadecimal Numbers,1191618000,5528,45.0
162,162,163,Cross-hatched Triangles,1192237200,1890,70.0
163,163,164,Numbers for which no three consecutive digits have a sum greater than a given value,1192856400,5938,45.0
164,164,165,Intersections,1193475600,2697,65.0
165,165,166,Criss Cross,1194094800,4251,50.0
166,166,167,Investigating Ulam Sequences,1194613200,1755,75.0
167,167,168,Number Rotations,1195232400,2744,65.0
168,168,169,Exploring the number of different ways a number can be expressed as a sum of powers of $2$,1195851600,5221,50.0
169,169,170,Find the largest $0$ to $9$ pandigital that can be formed by concatenating products,1196470800,2064,70.0
170,170,171,Finding numbers for which the sum of the squares of the digits is a square,1197090000,2876,65.0
171,171,172,Investigating numbers with few repeated digits,1197709200,3900,55.0
172,172,173,"Using up to one million tiles how many different ""hollow"" square laminae can be formed?",1198328400,9343,30.0
173,173,174,"Counting the number of ""hollow"" square laminae that can form one, two, three, ... distinct arrangements",1198328400,6023,40.0
174,174,175,Fractions involving the number of different ways a number can be expressed as a sum of powers of $2$,1198846800,1845,70.0
175,175,176,Right-angled triangles that share a cathetus,1199466000,1959,70.0
176,176,177,Integer Angled Quadrilaterals,1200085200,1324,80.0
177,177,178,Step Numbers,1200704400,3513,55.0
178,178,179,Consecutive Positive Divisors,1201323600,11558,25.0
179,179,180,Rational Zeros of a Function of Three Variables,1201942800,1630,75.0
180,180,181,Investigating in how many ways objects of two different colours can be grouped,1202562000,2053,70.0
181,181,182,RSA Encryption,1203080400,2675,60.0
182,182,183,Maximum Product of Parts,1203699600,4807,45.0
183,183,184,Triangles Containing the Origin,1204318800,1702,75.0
184,184,185,Number Mind,1204938000,3223,55.0
185,185,186,Connectedness of a Network,1205557200,2955,60.0
186,186,187,Semiprimes,1206176400,11466,25.0
187,187,188,The Hyperexponentiation of a Number,1207314000,6541,35.0
188,188,189,Tri-colouring a Triangular Grid,1207929600,2121,70.0
189,189,190,Maximising a Weighted Product,1208552400,4275,50.0
190,190,191,Prize Strings,1209168000,7277,35.0
191,191,192,Best Approximations,1209787200,1681,75.0
192,192,193,Squarefree Numbers,1210420800,3464,55.0
193,193,194,Coloured Configurations,1211014800,1451,75.0
194,194,195,Inscribed circles of triangles with one angle of $60$ degrees,1211547600,1437,75.0
195,195,196,Prime Triplets,1212166800,2660,65.0
196,196,197,Investigating the behaviour of a recursively defined sequence,1212786000,5028,45.0
197,197,198,Ambiguous Numbers,1213405200,1159,80.0
198,198,199,Iterative Circle Packing,1214024400,2015,70.0
199,199,200,Find the $200$th prime-proof sqube containing the contiguous sub-string ,1214643600,2447,65.0
200,200,201,Subsets with a Unique Sum,1215262800,2376,65.0
201,201,202,Laserbeam,1215262800,2632,60.0
202,202,203,Squarefree Binomial Coefficients,1220706000,9370,25.0
203,203,204,Generalised Hamming Numbers,1220706000,7529,30.0
204,204,205,Dice Game,1220706000,15283,15.0
205,205,206,Concealed Square,1220706000,25111,5.0
206,206,207,Integer Partition Equations,1220706000,4820,40.0
207,207,208,Robot Walks,1221224400,1802,70.0
208,208,209,Circular Logic,1221843600,2576,60.0
209,209,210,Obtuse Angled Triangles,1222462800,1760,70.0
210,210,211,Divisor Square Sum,1223082000,4295,50.0
211,211,212,Combined Volume of Cuboids,1223701200,1422,70.0
212,212,213,Flea Circus,1224320400,2400,60.0
213,213,214,Totient Chains,1224939600,5343,40.0
214,214,215,Crack-free Walls,1225458000,3789,50.0
215,215,216,Investigating the primality of numbers of the form 2<var>n</var><sup>2</sup>-1,1226077200,4178,45.0
216,216,217,Balanced Numbers,1226696400,1551,70.0
217,217,218,Perfect right-angled triangles,1227315600,3107,55.0
218,218,219,Skew-cost Coding,1227934800,1510,70.0
219,219,220,Heighway Dragon,1228554000,2233,55.0
220,220,221,Alexandrian Integers,1229173200,2138,65.0
221,221,222,Sphere Packing,1229691600,2136,60.0
222,222,223,Almost right-angled triangles I,1230310800,1573,70.0
223,223,224,Almost right-angled triangles II,1230310800,1271,75.0
224,224,225,Tribonacci non-divisors,1230310800,4569,45.0
225,225,226,A Scoop of Blancmange,1230930000,1787,65.0
226,226,227,The Chase,1231549200,2164,65.0
227,227,228,Minkowski Sums,1232168400,1366,70.0
228,228,229,Four Representations using Squares,1232787600,1510,70.0
229,229,230,Fibonacci Words,1233406800,2959,50.0
230,230,231,The prime factorisation of binomial coefficients,1233925200,5577,40.0
231,231,232,The Race,1234544400,1826,65.0
232,232,233,Lattice Points on a Circle,1235163600,2387,70.0
233,233,234,Semidivisible Numbers,1235782800,3336,50.0
234,234,235,An Arithmetic Geometric Sequence,1236402000,5110,40.0
235,235,236,Luxury Hampers,1237021200,962,80.0
236,236,237,Tours on a $4 \times n$ playing board,1237640400,1609,70.0
237,237,238,Infinite String Tour,1238335200,987,75.0
238,238,239,Twenty-two Foolish Primes,1238774400,1869,65.0
239,239,240,Top Dice,1239397200,2236,60.0
240,240,241,Perfection Quotients,1240016400,955,80.0
241,241,242,Odd Triplets,1240635600,1073,75.0
242,242,243,Resilience,1241254800,9798,35.0
243,243,244,Sliders,1241874000,1352,70.0
244,244,245,Coresilience,1242392400,836,80.0
245,245,246,Tangents to an Ellipse,1243008000,820,80.0
246,246,247,Squares under a Hyperbola,1243627200,1503,65.0
247,247,248,Numbers for which Euler’s totient function equals 13!,1244246400,1330,70.0
248,248,249,Prime Subset Sums,1244865600,2597,60.0
249,249,250,$250250$,1244865600,3058,55.0
250,250,251,Cardano Triplets,1245484800,1422,70.0
251,251,252,Convex Holes,1246104000,859,80.0
252,252,253,Tidying Up A,1251460800,1045,75.0
253,253,254,Sums of Digit Factorials,1252080000,987,75.0
254,254,255,Rounded Square Roots,1252699200,886,75.0
255,255,256,Tatami-Free Rooms,1253318400,750,80.0
256,256,257,Angular Bisectors,1253937600,704,85.0
257,257,258,A Lagged Fibonacci Sequence,1254556800,1643,70.0
258,258,259,Reachable Numbers,1255176000,1545,70.0
259,259,260,Stone Game,1255694400,1342,70.0
260,260,261,Pivotal Square Sums,1256313600,713,85.0
261,261,262,Mountain Range,1256936400,742,80.0
262,262,263,An engineers' dream come true,1257555600,1068,75.0
263,263,264,Triangle Centres,1258174800,583,85.0
264,264,265,Binary Circles,1258794000,4313,40.0
265,265,266,Pseudo Square Root,1259413200,1744,65.0
266,266,267,Billionaire,1259931600,3498,50.0
267,267,268,Counting numbers with at least four distinct prime factors less than 100,1260550800,1490,70.0
268,268,269,Polynomials with at least one integer root,1261213200,717,80.0
269,269,270,Cutting Squares,1261789200,658,80.0
270,270,271,"Modular Cubes, part 1",1262408400,2440,60.0
271,271,272,"Modular Cubes, part 2",1262408400,1007,80.0
272,272,273,Sum of Squares,1263042000,1416,70.0
273,273,274,Divisibility Multipliers,1263560400,1438,65.0
274,274,275,Balanced Sculptures,1264179600,624,85.0
275,275,276,Primitive Triangles,1264798800,1120,75.0
276,276,277,A Modified Collatz Sequence,1265418000,3313,35.0
277,277,278,Linear Combinations of Semiprimes,1266037200,1075,50.0
278,278,279,Triangles with integral sides and an integral angle ,1266656400,758,60.0
279,279,280,Ant and Seeds,1267275600,1070,65.0
280,280,281,Pizza Toppings,1267794000,1002,55.0
281,281,282,The Ackermann Function,1268413200,1047,70.0
282,282,283,Integer sided triangles for which the  area/perimeter ratio is integral,1269032400,652,75.0
283,283,284,Steady Squares,1269651600,1285,55.0
284,284,285,Pythagorean Odds,1270267200,1250,55.0
285,285,286,Scoring Probabilities,1270267200,2197,50.0
286,286,287,Quadtree encoding (a simple compression algorithm),1270886400,1480,40.0
287,287,288,An Enormous Factorial,1271505600,1693,35.0
288,288,289,Eulerian Cycles,1272024000,510,90.0
289,289,290,Digital Signature,1272643200,1009,50.0
290,290,291,Panaitopol Primes,1273262400,1483,45.0
291,291,292,Pythagorean Polygons,1273881600,583,65.0
292,292,293,Pseudo-Fortunate Numbers,1274500800,3052,30.0
293,293,294,Sum of digits - experience #23,1275120000,947,45.0
294,294,295,Lenticular Holes,1275739200,465,75.0
295,295,296,Angular Bisector and Tangent,1276257600,597,60.0
296,296,297,Zeckendorf Representation,1276876800,2844,35.0
297,297,298,Selective Amnesia,1277496000,685,60.0
298,298,299,Three Similar Triangles,1278115200,639,60.0
299,299,300,Protein Folding,1283601600,1132,50.0
300,300,301,Nim,1284217200,6657,15.0
301,301,302,Strong Achilles Numbers,1284832800,763,60.0
302,302,303,Multiples with Small Digits,1285448400,3712,35.0
303,303,304,Primonacci,1286064000,2240,40.0
304,304,305,Reflexive Position,1286679600,622,60.0
305,305,306,Paper-strip Game,1287295200,1237,55.0
306,306,307,Chip Defects,1287910800,1699,40.0
307,307,308,An amazing Prime-generating Automaton,1288440000,783,60.0
308,308,309,Integer Ladders,1289059200,837,50.0
309,309,310,Nim Square,1289674800,1181,40.0
310,310,311,Biclinic Integral Quadrilaterals,1290290400,444,70.0
311,311,312,Cyclic Paths on Sierpiński Graphs,1290906000,861,50.0
312,312,313,Sliding Game,1291521600,1652,30.0
313,313,314,The Mouse on the Moon,1292137200,523,80.0
314,314,315,Digital Root Clocks,1292752800,3492,20.0
315,315,316,Numbers in Decimal Expansions,1293282000,684,55.0
316,316,317,Firecracker,1293897600,2742,35.0
317,317,318,2011 Nines,1293897600,964,50.0
318,318,319,Bounded Sequences,1294513200,411,90.0
319,319,320,Factorials Divisible by a Huge Integer,1295128800,889,50.0
320,320,321,Swapping Counters,1295744400,1775,30.0
321,321,322,Binomial Coefficients Divisible by 10,1296360000,477,70.0
322,322,323,Bitwise-OR operations on random integers,1296975600,3991,20.0
323,323,324,Building a Tower,1297591200,725,50.0
324,324,325,Stone Game II,1298120400,614,80.0
325,325,326,Modulo Summations,1298736000,538,55.0
326,326,327,Rooms of Doom,1299351600,1159,40.0
327,327,328,Lowest-cost Search,1299967200,441,95.0
328,328,329,Prime Frog,1300582800,2580,25.0
329,329,330,Euler's Number,1301198400,542,70.0
330,330,331,Cross Flips,1301814000,420,100.0
331,331,332,Spherical Triangles,1302426000,630,50.0
332,332,333,Special Partitions,1302955200,1270,35.0
333,333,334,Spilling the Beans,1303570800,488,65.0
334,334,335,Gathering the Beans,1303570800,525,65.0
335,335,336,Maximix Arrangements,1304186400,2126,25.0
336,336,337,Totient Stairstep Sequences,1304802000,528,70.0
337,337,338,Cutting Rectangular Grid Paper,1305417600,334,95.0
338,338,339,Peredur fab Efrawg,1306033200,569,70.0
339,339,340,Crazy Function,1306648800,1140,30.0
340,340,341,Golomb's self-describing sequence,1307264400,952,45.0
341,341,342,The totient of a square is a cube,1307793600,816,50.0
342,342,343,Fractional Sequences,1308409200,1438,35.0
343,343,344,Silver Dollar Game,1309024800,330,100.0
344,344,345,Matrix Sum,1315062000,5835,15.0
345,345,346,Strong Repunits,1315062000,4434,15.0
346,346,347,Largest integer divisible by two primes,1315062000,4695,15.0
347,347,348,Sum of a Square and a Cube,1315062000,3128,25.0
348,348,349,Langton's Ant,1315062000,1970,35.0
349,349,350,Constraining the least greatest and the greatest least,1315677600,469,60.0
350,350,351,Hexagonal Orchards,1316293200,2631,25.0
351,351,352,Blood Tests,1317513600,620,55.0
352,352,353,Risky Moon,1318129200,495,50.0
353,353,354,Distances in a bee's honeycomb ,1318744800,452,65.0
354,354,355,Maximal Coprime Subset,1319360400,542,70.0
355,355,356,Largest Roots of Cubic Polynomials,1319889600,611,60.0
356,356,357,Prime Generating Integers,1320508800,8360,10.0
357,357,358,Cyclic Numbers,1321124400,1659,25.0
358,358,359,Hilbert's New Hotel,1321740000,1569,25.0
359,359,360,Scary Sphere,1322355600,600,50.0
360,360,361,Subsequence of Thue-Morse Sequence,1322971200,310,90.0
361,361,362,Squarefree Factors,1323586800,482,70.0
362,362,363,Bézier Curves,1324202400,1145,35.0
363,363,364,Comfortable Distance,1324731600,718,50.0
364,364,365,A Huge Binomial Coefficient,1325347200,1299,40.0
365,365,366,Stone Game III,1325962800,694,40.0
366,366,367,Bozo Sort,1326578400,529,55.0
367,367,368,A Kempner-like Series,1327194000,565,45.0
368,368,369,Badugi,1327809600,473,60.0
369,369,370,Geometric Triangles,1328425200,531,65.0
370,370,371,Licence Plates,1329040800,1660,30.0
371,371,372,Pencils of Rays,1329570000,410,60.0
372,372,373,Circumscribed Circles,1330185600,348,75.0
373,373,374,Maximum Integer Partition Product,1330801200,696,40.0
374,374,375,Minimum of Subsequences,1331416800,903,40.0
375,375,376,Nontransitive Sets of Dice,1332032400,284,70.0
376,376,377,Sum of digits - experience #13,1332648000,732,45.0
377,377,378,Triangle Triples,1333260000,888,35.0
378,378,379,Least Common Multiple Count,1333879200,525,70.0
379,379,380,Amazing Mazes!,1334408400,525,60.0
380,380,381,$(\text{prime}-k)$ factorial,1335024000,4346,15.0
381,381,382,Generating Polygons,1335639600,341,60.0
382,382,383,Divisibility Comparison between Factorials,1336255200,488,50.0
383,383,384,Rudin-Shapiro Sequence,1336870800,335,65.0
384,384,385,Ellipses inside Triangles,1337486400,284,70.0
385,385,386,Maximum Length of an Antichain,1338102000,744,40.0
386,386,387,Harshad Numbers,1338717600,4810,10.0
387,387,388,Distinct Lines,1339246800,592,55.0
388,388,389,Platonic Dice,1339862400,1566,30.0
389,389,390,Triangles with non rational sides and integral area,1340478000,577,60.0
390,390,391,Hopping Game,1341093600,275,75.0
391,391,392,Enmeshed Unit Circle,1346504400,798,35.0
392,392,393,Migrating Ants,1347120000,789,50.0
393,393,394,Eating Pie,1347735600,544,55.0
394,394,395,Pythagorean Tree,1348351200,711,40.0
395,395,396,Weak Goodstein Sequence,1348966800,675,40.0
396,396,397,Triangle on Parabola,1349582400,273,70.0
397,397,398,Cutting Rope,1350198000,387,55.0
398,398,399,Squarefree Fibonacci Numbers,1350813600,579,45.0
399,399,400,Fibonacci Tree Game,1351342800,480,55.0
400,400,401,Sum of Squares of Divisors,1352563200,2615,25.0
401,401,402,Integer-valued Polynomials,1353178800,416,55.0
402,402,403,Lattice points enclosed by parabola and line,1353794400,362,55.0
403,403,404,Crisscross Ellipses,1354410000,326,60.0
404,404,405,A Rectangular Tiling,1355025600,622,40.0
405,405,406,Guessing Game,1355641200,379,50.0
406,406,407,Idempotents,1356256800,2507,20.0
407,407,408,Admissible paths through a grid,1356786000,578,50.0
408,408,409,Nim Extreme,1357401600,457,55.0
409,409,410,Circle and Tangent Line,1358017200,279,70.0
410,410,411,Uphill Paths,1358632800,670,45.0
411,411,412,Gnomon Numbering,1359248400,505,50.0
412,412,413,One-child Numbers,1359864000,390,75.0
413,413,414,Kaprekar Constant,1360479600,286,60.0
414,414,415,Titanic Sets,1361095200,313,100.0
415,415,416,A Frog's Trip,1361624400,293,85.0
416,416,417,Reciprocal Cycles II,1362240000,893,35.0
417,417,418,Factorisation Triples,1362855600,700,40.0
418,418,419,Look and say sequence,1363471200,498,50.0
419,419,420,2x2 positive integer matrix,1364086800,443,60.0
420,420,421,Prime Factors of <var>n</var><sup>15</sup>+1,1364698800,664,50.0
421,421,422,Sequence of points on a hyperbola,1365314400,278,75.0
422,422,423,Consecutive Die Throws,1365930000,495,45.0
423,423,424,Kakuro,1366459200,417,60.0
424,424,425,Prime Connection,1367074800,1503,25.0
425,425,426,Box-Ball System,1367690400,255,75.0
426,426,427,$n$-sequences,1368306000,309,95.0
427,427,428,Necklace of Circles,1368921600,248,90.0
428,428,429,Sum of Squares of Unitary Divisors,1369537200,2586,20.0
429,429,430,Range Flips,1370152800,873,35.0
430,430,431,Square Space Silo,1370768400,633,40.0
431,431,432,Totient Sum,1371297600,497,70.0
432,432,433,Steps in Euclid's Algorithm,1371913200,477,65.0
433,433,434,Rigid Graphs,1372528800,341,75.0
434,434,435,Polynomials of Fibonacci Numbers,1378566000,1143,30.0
435,435,436,Unfair Wager,1379181600,465,55.0
436,436,437,Fibonacci Primitive Roots,1379797200,810,35.0
437,437,438,Integer part of polynomial equation's solutions,1380412800,278,95.0
438,438,439,Sum of Sum of Divisors,1381028400,393,100.0
439,439,440,GCD and Tiling,1381644000,381,60.0
440,440,441,The inverse summation of coprime couples,1382259600,360,65.0
441,441,442,Eleven-free Integers,1382788800,399,60.0
442,442,443,GCD Sequence,1383408000,1151,30.0
443,443,444,The Roundtable Lottery,1384023600,309,60.0
444,444,445,Retractions A,1384639200,384,50.0
445,445,446,Retractions B,1384639200,366,60.0
446,446,447,Retractions C,1384639200,297,95.0
447,447,448,Average Least Common Multiple,1385254800,351,80.0
448,448,449,Chocolate Covered Candy,1386475200,926,40.0
449,449,450,Hypocycloid and Lattice Points,1387090800,198,100.0
450,450,451,Modular Inverses,1387706400,1463,30.0
451,451,452,Long Products,1388235600,588,45.0
452,452,453,Lattice Quadrilaterals,1388851200,218,95.0
453,453,454,Diophantine Reciprocals III,1389466800,475,50.0
454,454,455,Powers with Trailing Digits,1390082400,727,40.0
455,455,456,Triangles Containing the Origin II,1390698000,404,55.0
456,456,457,A polynomial modulo the square of a prime,1391313600,812,35.0
457,457,458,Permutations of Project,1391929200,943,30.0
458,458,459,Flipping Game,1392544800,237,100.0
459,459,460,An Ant on the Move,1393074000,326,60.0
460,460,461,Almost Pi,1393689600,1232,30.0
461,461,462,Permutation of 3-smooth Numbers,1394305200,320,60.0
462,462,463,A Weird Recurrence Relation,1394920800,1114,35.0
463,463,464,Möbius Function and Intervals,1395536400,326,60.0
464,464,465,Polar Polygons,1396152000,220,85.0
465,465,466,Distinct Terms in a Multiplication Table,1396764000,316,65.0
466,466,467,Superinteger,1397379600,444,50.0
467,467,468,Smooth Divisors of Binomial Coefficients,1397908800,272,70.0
468,468,469,Empty Chairs,1398524400,761,40.0
469,469,470,Super Ramvok,1399140000,231,65.0
470,470,471,Triangle Inscribed in Ellipse,1399755600,222,75.0
471,471,472,Comfortable Distance II,1400371200,261,60.0
472,472,473,Phigital Number Base,1400986800,745,35.0
473,473,474,Last Digits of Divisors,1401602400,423,50.0
474,474,475,Music Festival,1402218000,454,50.0
475,475,476,Circle Packing II,1402747200,425,45.0
476,476,477,Number Sequence Game,1408806000,265,65.0
477,477,478,Mixtures,1409421600,192,100.0
478,478,479,Roots on the Rise,1410037200,1315,25.0
479,479,480,The Last Question,1410652800,586,45.0
480,480,481,Chef Showdown,1411268400,246,70.0
481,481,482,The Incenter of a Triangle,1411884000,217,85.0
482,482,483,Repeated Permutation,1412499600,229,100.0
483,483,484,Arithmetic Derivative,1413028800,369,100.0
484,484,485,Maximum Number of Divisors,1413644400,1179,30.0
